7.990000000000000568e+01;1.390000000000000036e+01;6.200000000000000178e+00;3.299999999999999822e+00
7.850000000000000000e+01;1.630000000000000071e+01;7.200000000000000178e+00;2.500000000000000000e+00
6.890000000000000568e+01;2.260000000000000142e+01;8.500000000000000000e+00;3.600000000000000089e+00
6.220000000000000284e+01;2.019999999999999929e+01;1.760000000000000142e+01;2.799999999999999822e+00
6.920000000000000284e+01;2.369999999999999929e+01;7.099999999999999645e+00;9.000000000000000222e-01
6.779999999999999716e+01;1.980000000000000071e+01;1.240000000000000036e+01;3.799999999999999822e+00
6.129999999999999716e+01;2.489999999999999858e+01;1.380000000000000071e+01;2.200000000000000178e+00
7.159999999999999432e+01;1.919999999999999929e+01;9.199999999999999289e+00;3.600000000000000089e+00
8.370000000000000284e+01;1.050000000000000000e+01;5.799999999999999822e+00;4.400000000000000355e+00
6.709999999999999432e+01;2.650000000000000000e+01;6.400000000000000355e+00;1.399999999999999911e+00
5.979999999999999716e+01;2.789999999999999858e+01;1.230000000000000071e+01;3.500000000000000000e+00
6.670000000000000284e+01;2.330000000000000071e+01;1.009999999999999964e+01;2.899999999999999911e+00
7.279999999999999716e+01;1.450000000000000000e+01;1.269999999999999929e+01;1.899999999999999911e+00
6.089999999999999858e+01;2.889999999999999858e+01;1.019999999999999929e+01;1.500000000000000000e+00
6.139999999999999858e+01;2.919999999999999929e+01;9.400000000000000355e+00;2.500000000000000000e+00
7.500000000000000000e+01;1.680000000000000071e+01;8.199999999999999289e+00;3.100000000000000089e+00
8.050000000000000000e+01;1.190000000000000036e+01;7.599999999999999645e+00;3.799999999999999822e+00
7.129999999999999716e+01;1.850000000000000000e+01;1.019999999999999929e+01;2.600000000000000089e+00
5.660000000000000142e+01;2.889999999999999858e+01;1.450000000000000000e+01;2.799999999999999822e+00
5.589999999999999858e+01;3.279999999999999716e+01;1.130000000000000071e+01;3.100000000000000089e+00
6.150000000000000000e+01;2.810000000000000142e+01;1.040000000000000036e+01;2.700000000000000178e+00
5.920000000000000284e+01;2.839999999999999858e+01;1.240000000000000036e+01;2.799999999999999822e+00
7.690000000000000568e+01;1.630000000000000071e+01;6.799999999999999822e+00;2.899999999999999911e+00
5.800000000000000000e+01;2.760000000000000142e+01;1.440000000000000036e+01;3.399999999999999911e+00
